7.018494e+14 -1.949853e+33 -1.949851e+33 -1.949846e+33 -1.949840e+33 -1.949826e+33 -1.949616e+33 -1.945501e+33 -1.923348e+33 -1.865500e+33 -1.765350e+33 -1.628593e+33 -1.471233e+33 -1.306356e+33 -1.145010e+33 -9.944285e+32 -8.585798e+32 -7.390450e+32 -6.343183e+32 -5.467145e+32 -4.730240e+32 -4.116001e+32 -3.607775e+32 -3.189794e+32 0.000000e+00 0.000000e+00
6.752758e+14 -6.456539e+33 -6.456535e+33 -6.456520e+33 -6.456500e+33 -6.456457e+33 -6.455174e+33 -6.434887e+33 -6.340855e+33 -6.117592e+33 -5.753659e+33 -5.275796e+33 -4.740051e+33 -4.188519e+33 -3.655413e+33 -3.162233e+33 -2.720167e+33 -2.333070e+33 -1.995196e+33 -1.713395e+33 -1.476900e+33 -1.280144e+33 -1.117598e+33 -9.840869e+32 0.000000e+00 0.000000e+00
6.497083e+14 -1.206850e+34 -1.206849e+34 -1.206846e+34 -1.206843e+34 -1.206834e+34 -1.206458e+34 -1.201403e+34 -1.180379e+34 -1.133771e+34 -1.061053e+34 -9.682792e+33 -8.662535e+33 -7.625961e+33 -6.633285e+33 -5.721059e+33 -4.907395e+33 -4.197552e+33 -3.579761e+33 -3.065668e+33 -2.635007e+33 -2.277235e+33 -1.982027e+33 -1.739793e+33 0.000000e+00 0.000000e+00
6.251089e+14 -1.842766e+34 -1.842765e+34 -1.842761e+34 -1.842757e+34 -1.842741e+34 -1.841881e+34 -1.831916e+34 -1.794245e+34 -1.715689e+34 -1.597868e+34 -1.451436e+34 -1.293225e+34 -1.134430e+34 -9.836706e+33 -8.459923e+33 -7.237579e+33 -6.174948e+33 -5.252655e+33 -4.486835e+33 -3.846405e+33 -3.315116e+33 -2.877242e+33 -2.518288e+33 0.000000e+00 0.000000e+00
6.014408e+14 -2.527919e+34 -2.527918e+34 -2.527913e+34 -2.527907e+34 -2.527880e+34 -2.526180e+34 -2.508944e+34 -2.449161e+34 -2.331234e+34 -2.160662e+34 -1.953764e+34 -1.733902e+34 -1.515757e+34 -1.310351e+34 -1.123887e+34 -9.590775e+33 -8.162894e+33 -6.926890e+33 -5.902752e+33 -5.047743e+33 -4.339421e+33 -3.756303e+33 -3.278735e+33 0.000000e+00 0.000000e+00
5.786689e+14 -3.253877e+34 -3.253876e+34 -3.253870e+34 -3.253863e+34 -3.253815e+34 -3.250754e+34 -3.223282e+34 -3.135221e+34 -2.970216e+34 -2.739502e+34 -2.466008e+34 -2.179937e+34 -1.899221e+34 -1.636997e+34 -1.400338e+34 -1.192075e+34 -1.012242e+34 -8.569849e+33 -7.286097e+33 -6.216143e+33 -5.330968e+33 -4.603082e+33 -4.007513e+33 0.000000e+00 0.000000e+00
5.567591e+14 -4.000972e+34 -4.000970e+34 -4.000963e+34 -4.000955e+34 -4.000870e+34 -3.995752e+34 -3.954662e+34 -3.832112e+34 -3.613090e+34 -3.316328e+34 -2.972022e+34 -2.617218e+34 -2.272701e+34 -1.953327e+34 -1.666703e+34 -1.415535e+34 -1.199361e+34 -1.013207e+34 -8.596017e+33 -7.317888e+33 -6.261916e+33 -5.394554e+33 -4.685523e+33 0.000000e+00 0.000000e+00
5.356789e+14 -4.765049e+34 -4.765048e+34 -4.765040e+34 -4.765031e+34 -4.764882e+34 -4.756780e+34 -4.698115e+34 -4.534444e+34 -4.254514e+34 -3.886235e+34 -3.467541e+34 -3.042166e+34 -2.633267e+34 -2.256992e+34 -1.921136e+34 -1.628038e+34 -1.376579e+34 -1.160589e+34 -9.827252e+33 -8.349685e+33 -7.130575e+33 -6.130324e+33 -5.313418e+33 0.000000e+00 0.000000e+00
5.153969e+14 -5.536904e+34 -5.536902e+34 -5.536894e+34 -5.536883e+34 -5.536631e+34 -5.524374e+34 -5.443747e+34 -5.232320e+34 -4.885223e+34 -4.441006e+34 -3.945556e+34 -3.448943e+34 -2.976146e+34 -2.544143e+34 -2.160572e+34 -1.827174e+34 -1.542031e+34 -1.297717e+34 -1.096929e+34 -9.303969e+33 -7.931768e+33 -6.807146e+33 -5.889507e+33 0.000000e+00 0.000000e+00
4.958828e+14 -6.309330e+34 -6.309328e+34 -6.309319e+34 -6.309307e+34 -6.308891e+34 -6.291046e+34 -6.183710e+34 -5.918031e+34 -5.498221e+34 -4.974666e+34 -4.401177e+34 -3.833651e+34 -3.298292e+34 -2.812444e+34 -2.383254e+34 -2.011656e+34 -1.694807e+34 -1.423985e+34 -1.201848e+34 -1.017902e+34 -8.665304e+33 -7.426046e+33 -6.415784e+33 0.000000e+00 0.000000e+00
4.771075e+14 -7.076455e+34 -7.076453e+34 -7.076443e+34 -7.076431e+34 -7.075765e+34 -7.050626e+34 -6.911562e+34 -6.585407e+34 -6.088128e+34 -5.482833e+34 -4.831006e+34 -4.193738e+34 -3.597846e+34 -3.060585e+34 -2.588302e+34 -2.180934e+34 -1.834613e+34 -1.539304e+34 -1.297546e+34 -1.097664e+34 -9.333909e+33 -7.990463e+33 -6.896242e+33 0.000000e+00 0.000000e+00
4.590431e+14 -7.833328e+34 -7.833325e+34 -7.833315e+34 -7.833301e+34 -7.832270e+34 -7.797858e+34 -7.621874e+34 -7.229430e+34 -6.650776e+34 -5.962313e+34 -5.232741e+34 -4.527628e+34 -3.873793e+34 -3.287973e+34 -2.775432e+34 -2.334953e+34 -1.961560e+34 -1.643904e+34 -1.384341e+34 -1.170066e+34 -9.941861e+33 -8.505011e+33 -7.335743e+33 0.000000e+00 0.000000e+00
