7.018494e+14 -1.009304e+34 -1.009304e+34 -1.009304e+34 -1.009304e+34 -1.009305e+34 -1.009305e+34 -1.009305e+34 -1.009306e+34 -1.009305e+34 -1.009298e+34 -1.009253e+34 -1.009079e+34 -1.008589e+34 -1.007490e+34 -1.005418e+34 -1.001986e+34 -9.968433e+33 -9.895880e+33 -9.802767e+33 -9.687535e+33 -9.550574e+33 -9.393080e+33 -9.216851e+33 0.000000e+00 0.000000e+00
6.752758e+14 -3.347070e+34 -3.347070e+34 -3.347071e+34 -3.347071e+34 -3.347072e+34 -3.347073e+34 -3.347074e+34 -3.347075e+34 -3.347071e+34 -3.347031e+34 -3.346807e+34 -3.346013e+34 -3.343916e+34 -3.339434e+34 -3.331299e+34 -3.318227e+34 -3.299110e+34 -3.272666e+34 -3.239269e+34 -3.198473e+34 -3.150504e+34 -3.095835e+34 -3.035118e+34 0.000000e+00 0.000000e+00
6.497083e+14 -6.263194e+34 -6.263194e+34 -6.263195e+34 -6.263196e+34 -6.263198e+34 -6.263199e+34 -6.263201e+34 -6.263202e+34 -6.263191e+34 -6.263080e+34 -6.262518e+34 -6.260640e+34 -6.255898e+34 -6.246118e+34 -6.228855e+34 -6.201732e+34 -6.162768e+34 -6.109660e+34 -6.043385e+34 -5.963216e+34 -5.869711e+34 -5.763864e+34 -5.646973e+34 0.000000e+00 0.000000e+00
6.251089e+14 -9.573002e+34 -9.573002e+34 -9.573003e+34 -9.573005e+34 -9.573007e+34 -9.573009e+34 -9.573012e+34 -9.573012e+34 -9.572985e+34 -9.572750e+34 -9.571629e+34 -9.568079e+34 -9.559467e+34 -9.542261e+34 -9.512651e+34 -9.467058e+34 -9.402629e+34 -9.315983e+34 -9.209042e+34 -9.080846e+34 -8.932443e+34 -8.765505e+34 -8.582124e+34 0.000000e+00 0.000000e+00
6.014408e+14 -1.314457e+35 -1.314457e+35 -1.314457e+35 -1.314457e+35 -1.314457e+35 -1.314458e+35 -1.314458e+35 -1.314458e+35 -1.314452e+35 -1.314408e+35 -1.314212e+35 -1.313619e+35 -1.312231e+35 -1.309538e+35 -1.305009e+35 -1.298166e+35 -1.288640e+35 -1.275990e+35 -1.260538e+35 -1.242171e+35 -1.221060e+35 -1.197453e+35 -1.171651e+35 0.000000e+00 0.000000e+00
5.786689e+14 -1.693430e+35 -1.693430e+35 -1.693430e+35 -1.693430e+35 -1.693430e+35 -1.693431e+35 -1.693431e+35 -1.693431e+35 -1.693420e+35 -1.693345e+35 -1.693028e+35 -1.692109e+35 -1.690030e+35 -1.686103e+35 -1.679641e+35 -1.670045e+35 -1.656878e+35 -1.639599e+35 -1.618698e+35 -1.594056e+35 -1.565925e+35 -1.534647e+35 -1.500627e+35 0.000000e+00 0.000000e+00
5.567591e+14 -2.083954e+35 -2.083954e+35 -2.083954e+35 -2.083954e+35 -2.083955e+35 -2.083955e+35 -2.083955e+35 -2.083954e+35 -2.083937e+35 -2.083817e+35 -2.083335e+35 -2.081992e+35 -2.079047e+35 -2.073620e+35 -2.064866e+35 -2.052076e+35 -2.034761e+35 -2.012290e+35 -1.985360e+35 -1.953853e+35 -1.918115e+35 -1.878597e+35 -1.835812e+35 0.000000e+00 0.000000e+00
5.356789e+14 -2.483836e+35 -2.483836e+35 -2.483836e+35 -2.483837e+35 -2.483837e+35 -2.483838e+35 -2.483838e+35 -2.483836e+35 -2.483807e+35 -2.483625e+35 -2.482926e+35 -2.481045e+35 -2.477036e+35 -2.469818e+35 -2.458392e+35 -2.441951e+35 -2.419973e+35 -2.391749e+35 -2.358220e+35 -2.319279e+35 -2.275381e+35 -2.227093e+35 -2.175045e+35 0.000000e+00 0.000000e+00
5.153969e+14 -2.888227e+35 -2.888227e+35 -2.888227e+35 -2.888227e+35 -2.888228e+35 -2.888228e+35 -2.888229e+35 -2.888225e+35 -2.888181e+35 -2.887915e+35 -2.886936e+35 -2.884391e+35 -2.879110e+35 -2.869803e+35 -2.855326e+35 -2.834793e+35 -2.807668e+35 -2.773180e+35 -2.732551e+35 -2.685690e+35 -2.633173e+35 -2.575692e+35 -2.513999e+35 0.000000e+00 0.000000e+00
4.958828e+14 -3.293309e+35 -3.293309e+35 -3.293309e+35 -3.293310e+35 -3.293310e+35 -3.293311e+35 -3.293311e+35 -3.293306e+35 -3.293239e+35 -3.292864e+35 -3.291536e+35 -3.288190e+35 -3.281417e+35 -3.269721e+35 -3.251821e+35 -3.226775e+35 -3.194055e+35 -3.152846e+35 -3.104679e+35 -3.049489e+35 -2.987984e+35 -2.920985e+35 -2.849370e+35 0.000000e+00 0.000000e+00
